,bin,Pattern,Start,End
1,chr1_134314063,BCDE,3,6
2,chr1_134314063,DEF,5,7
3,chr1_134314063,DGCCA,11,15
4,chr1_134314063,CCAHGI,13,18
5,chr1_134314063,IJDG,18,21
6,chr1_134314063,DGCCA,20,24
7,chr1_134314063,BCDE,26,29
8,chr1_134314063,DEF,28,30
9,chr1_134314063,FGGI,30,33
10,chr1_134314063,IJDG,33,36
11,chr1_134314063,DGCCA,35,39
12,chr1_134314063,BCDE,41,44
13,chr1_134314063,DEF,43,45
14,chr1_134314063,FGLIJ,45,49
15,chr1_134314063,IJDG,48,51
16,chr1_134314063,DGCCA,50,54
17,chr1_134314063,BCDE,56,59
18,chr1_134314063,DEF,58,60
19,chr1_134314063,FGLIJ,60,64
20,chr1_134314063,IJDG,63,66
21,chr1_134314063,DGCCA,65,69
22,chr1_134314063,BCDE,71,74
23,chr1_134314063,DEF,73,75
24,chr1_134314063,FGGI,75,78
25,chr1_134314063,IJDG,78,81
26,chr1_134314063,DGCCA,80,84
27,chr1_134314063,BCDE,86,89
28,chr1_134314063,DEF,88,90
29,chr1_134314063,IJDG,92,95
30,chr1_134314063,DGCCA,94,98
31,chr1_134314063,DEF,101,103
32,chr1_134314063,IJDG,105,108
33,chr1_134314063,DGCCA,107,111
34,chr1_134314063,CCAHGI,109,114
35,chr1_134314063,IJDG,114,117
36,chr1_134314063,DGCCA,116,120
37,chr1_134314063,CCAHGI,118,123
38,chr1_134515907,ABC,1,3
39,chr1_134515907,BCDE,2,5
40,chr1_134515907,DEB,4,6
41,chr1_134515907,CGDA,8,11
42,chr1_134515907,DEB,13,15
43,chr1_134515907,CGDA,17,20
44,chr1_134515907,DEB,22,24
45,chr1_134515907,ABC,34,36
46,chr1_134515907,ABC,41,43
47,chr1_134515907,BFHBAB,45,50
48,chr1_134515907,ABC,49,51
49,chr1_134515907,BFHBAB,61,66
50,chr1_134515907,ABC,65,67
51,chr1_134515907,BFHBAB,69,74
52,chr1_134515907,ABC,73,75
53,chr1_134515907,BFHBAB,85,90
54,chr1_134515907,ABC,89,91
55,chr1_134515907,BCDE,98,101
56,chr1_134515907,MNOILJ,116,121
57,chr1_134515907,MNOILJ,124,129
58,chr1_137292718,FGH,27,29
59,chr1_137292718,IDBJE,32,36
60,chr1_137292718,FGH,38,40
61,chr1_137292718,IDBJE,43,47
62,chr1_137292718,FGH,48,50
63,chr1_137302718,AABC,2,5
64,chr1_137302718,BCA,4,6
65,chr1_137302718,CADA,5,8
66,chr1_137302718,DAAB,7,10
67,chr1_137302718,AABC,8,11
68,chr1_137302718,BCA,10,12
69,chr1_137302718,CAAB,11,14
70,chr1_137302718,AABC,12,15
71,chr1_137302718,BCA,14,16
72,chr1_137302718,CADA,15,18
73,chr1_137302718,DAAB,17,20
74,chr1_137302718,AABC,18,21
75,chr1_137302718,BCA,20,22
76,chr1_137302718,CADA,21,24
77,chr1_137302718,DAAB,23,26
78,chr1_137302718,AABC,24,27
79,chr1_137302718,CADA,32,35
80,chr1_137302718,CAAB,36,39
81,chr1_137302718,AABC,37,40
82,chr1_137302718,BCA,39,41
83,chr1_137302718,CADA,40,43
84,chr1_137302718,DAAB,42,45
85,chr1_137302718,AABC,43,46
86,chr1_137302718,BCA,45,47
87,chr1_137302718,BCA,50,52
88,chr1_137302718,CADA,51,54
89,chr1_137302718,DAAB,53,56
90,chr1_137302718,AABC,54,57
91,chr1_137302718,BCA,56,58
92,chr1_137302718,CADA,57,60
