,chr,bin,clust_val,start,rep,pattern,purity
1,chr1,chr1_101748,0.94,101748,knob180,ABCDEABCDGFBCDEABCDDGFDEDDCDEABCDDGFBCDEABCDDGFDEDBCDE,0.981481481481482
2,chr1,chr1_111748,0.96,111748,knob180,ABICDJZECCFGECCHIHIZDABIZDJGECCHECCHECCHICICICCKHIZCKHICAZCDZLICAHICIZHAZILKIHCCICILCZZACIHKCCIZIZCCEZFZ,0.384615384615385
3,chr1,chr1_12576464,0.98,12576464,knob180,CABFCFCAEFCFCAEFCGDCFCAEFCCABFCFCAEFCFCAEFCGDCZZZZZCZZZ,0.818181818181818
4,chr1,chr1_12586464,0.97,12586464,knob180,ZDDACDBDCCDBDCDDACDBDCDCDCEDCDBDCDCDCEDDHFCDDHFCGDCDCDCEDDHDHFCGDCDCDCEDDHFCEDDHFZDICDCCDDZDCDBDZDZDCEDZHFCDICDCCZDZJDZDCKZDCDLJDMZNCKCDCODPDQJDDMRNZDCODPDQJDDMRNDPDZJDMRNZDPDLJDMRNZZZZSZZZZZSZZSZZZZZZZZZZZZZZSDZZTZZZZDUDZVWXDCDY13T2UDZVWXDY13T2UD4Z56VWDY13T2UD456VWD7D6VZD7DZDZZZD6ZZDZZZZZZZZZD8D9fabcDZdabcD9de8D9fbcD9de8D9fabZD9dZZ,0.553892215568862
5,chr1,chr1_12766464,0.96,12766464,knob180,ZAABAACADEZFGZAZHZZAZAAABAACADEIZBAAEIDEAACADEIFGZAAHZZZZAAABAAJMANAAKALAAJMANAAKALAAJMANAAKALOAAKALOAAPZAPAAAZ,0.531531531531532
6,chr1,chr1_12786464,0.97,12786464,knob180,ACCCBCACCEIFDCGACCCBCACCCBCFCHCEZFDCGAFCFCHCEIFDCGACCCJFFCHCFCHFCHCKHCFJFFCHCFCHFCHCKHCFCZZLMCCCGAZFCHFCHCFCZZLMCCCGAZCCCFFCHCOFCNCLMCCPFOFCNCLMCCPCZZCCFFCHCFOFCNCLMC,0.825301204819277
7,chr1,chr1_12816464,0.98,12816464,knob180,ZZZZZZZZ,0
8,chr1,chr1_13475468,0.97,13475468,knob180,ABZZZZABZCZZAZZZZZZZDZZDZZZZZCZZZZZZZZZEDZZZZZZZZZEZZZZ,0
9,chr1,chr1_13525468,0.96,13525468,knob180,ZAZBZBZZZZBABBFBCGDEABBFBCGDEBBHBFBCGDEBBHBBIJBCBZZZZKZLZBCBJIBBHBBEGCBFZLBMNOPBQZRSZBMNOPBQZRSZZZZZZAZABZTKUAAAAVWBXUAAYTKUAVWBXUAAYTKUAAZBZZZZZ1ZZ1ZZAAWZZ1ZZZZZZZB2ZB2ZBZ3BZZZ43BZZZBZZ43W,0.396825396825397
10,chr1,chr1_13575468,0.94,13575468,knob180,CDBABEFCDBABEFGCCBZZBEGCCHBABEFZZCZBZFCHBZBZ,0.545454545454545
11,chr1,chr1_13637056,0.96,13637056,knob180,ZABCEDDFEDDFDCDDFEDDFDCEDDFEDDDFEDDDEDDFEDDDFEDDDMZZGADFHIDFJZKLDDKLDZMZDGABZEDDFZIDFJDKLDDFHZZZDZLZZMZZZDZZZEZ,0.603603603603604
12,chr1,chr1_13677056,0.95,13677056,knob180,AABCADFEGAABCADFEGAABHIJAGAABHIJAKLZNOPQAKLRNOPQAKLRNOP,0.981818181818182
13,chr1,chr1_13687056,0.96,13687056,knob180,ZZZZ,0
14,chr1,chr1_13717140,0.95,13717140,knob180,AZZBBBZBZABZBZZBBBBBBBBBBZZBBBBBBZBBBCBBBDZBBCBBCBBBBBD,0
15,chr1,chr1_13727140,0.97,13727140,knob180,ZZZZZZZZZZZZZZAZZAZZZZZZZZZZBZZCBDZCBZCBDEBFGZZZCBDEBFGZ,0.303571428571429
16,chr1,chr1_13737140,0.96,13737140,knob180,CABZZAAZAACABZAAZCADEAFGCADEZFGCAZFGCAHAIAJKLADEAFGCAHAIAJKLADEAFGCAHAIAJKLAIZAIZAZZAZAHAIAJZAHAMZZZZZZAZZZZAZM,0.612612612612613
17,chr1,chr1_13767140,0.95,13767140,knob180,ZABCZZDEAFZZBAZZEAFGAABZDEAFGAABCHBAGAABCHBAIJZLMNOAIJBLMNOAIJBLMNOAIJ,0.842857142857143
18,chr1,chr1_13809176,0.95,13809176,knob180,AAAAAAABZAAAAAAAAAACAZZAAAAACAABAAZAAAAAAAAAAAZAAAAAAZA,0
19,chr1,chr1_13819176,0.97,13819176,knob180,ZABCDEZZZABZZZCCCDEZZZZZZCZZZZZZZZZZZZZCZZZZZZCCZZFZZZFZ,0.107142857142857
20,chr1,chr1_13839176,0.96,13839176,knob180,ACBCDFGCHEFDFZZZZACBCDFGCHEZCDZZCZEZZZZZCZCZZZCZZZZZZZZ,0.363636363636364
21,chr1,chr1_13859176,0.95,13859176,knob180,ZZZZAAZAABAACADZEAAAAAABAACADFEGHAIAAIACADFEGHAZAAZZZAAZ,0.464285714285714
22,chr1,chr1_13869176,0.97,13869176,knob180,AZBBCDHEIFGBBCDHEIFGBBZBZBZZZZIFGZBZAZZBJKGBLZABZBJKGBLZABBBJZFGBBZABZZZZZZZ,0.513157894736842
23,chr1,chr1_13919176,0.95,13919176,knob180,ABAAAAAAACDAABAAAABAAAZAAZAZAAAZAAAACDZAABAAAABAAAAZZZA,0.145454545454545
24,chr1,chr1_13939176,0.97,13939176,knob180,ZACAFBGADEAEACAFBGADEACAFBGAZZZAAZAEACZFBGZHIZZAEAZAZBGZZZAZZHIZZAAAJAAAKAAAAAAJAAAKAAAAAAJAAAAZAAAAZZAOMANAOMANAAAAAAAAAQAAASRAAASRTAPUVAAAWXAAAAAAAAAQAAASRAAASRTAPUVAAAWXA,0.473988439306358
25,chr1,chr1_13979176,0.98,13979176,knob180,ZAZZZZZZZZZZZAZZ,0
26,chr1,chr1_140071318,0.92,140071318,CentC,ZZZZZZZZZZZZZZZZ,0
27,chr1,chr1_14009176,0.97,14009176,knob180,ZZABZCZDZZZZZZZZZEZFAGCHDZEZFABGCHDIBGCHDIZZZZZZZZZZZZZZ,0.285714285714286
28,chr1,chr1_140184704,0.9,140184704,CentC,AZBCZDEFGHECCAIEFGHECCAJBCHKDEEFGHECCAJBCHKDEZFGHECCAJBCHKDEEFGHECCALBCHKDEFGHECCALBCHKDEFGHECCAIEFGHECCAIEFGHECCACZZZZZZMEENCAZZCHZZZZZZZEZNGZGZEZCIZCZMZZHZ,0.687898089171974
29,chr1,chr1_140327491,0.9,140327491,CentC,ZZABZZZZZBZZZABZZZZZ,0
