,chr,bin,clust_val,start,rep,pattern,purity
1,chr1,chr1_10004,0.95,10004,knob180,BZAZZBCAZZCABBGAHBCADABIEBFBBBBGAHBCADABIEBFBBCZJBBACBJBJBKKBAZBCBBBACBZZZCZZKZBZZB,0.566265060240964
2,chr1,chr1_129144736,0.91,129144736,CentC,ZZZAZZZZZZZZAZZZ,0
3,chr1,chr1_129258059,0.9,129258059,CentC,AZBCDEFGHIDGCCAJGHIDGCCAKBCDEFGGHIDGCCAKBCDEFGZHIDGCCAKBCDEFGGHIDGCCAKBCDEFGHIDGCCAKBCDEFGHIDGCCAJGHIDGCCAJGZIDGCCACZZZZDZLGGMCAZZCDZZZZZZZGZMIZIZGZCKZCZLZZDZ,0.664556962025316
4,chr1,chr1_129400996,0.9,129400996,CentC,ZZABZZZZZBZZZABZZZZZ,0
5,chr1,chr1_129448313,0.9,129448313,CentC,ABCDAEBFCGACDAEBFCGACDAEZZCZAEIAGABDAEIAGABDAEIAGABDAEBDAEB,0.88135593220339
6,chr1,chr1_129458313,0.94,129458313,CentC,ZAZZZAZBCDFEZBZBCDFEZZAZZZZZZZZZZZ,0.294117647058824
7,chr1,chr1_131988535,0.93,131988535,CentC,ZZZZZ,0
8,chr1,chr1_132028535,0.96,132028535,CentC,ZZZZZZZZZZ,0
9,chr1,chr1_132207159,0.95,132207159,CentC,CADZZAZZZZZZZCAD,0.375
10,chr1,chr1_132217159,0.92,132217159,CentC,ABCDCCEFCABCDABCDCCEFCABCDABCDCCEFCAB,1
11,chr1,chr1_132227159,0.94,132227159,CentC,BAZZBACZCZZZZB,0
12,chr1,chr1_132284981,0.96,132284981,CentC,ZABDZCDFGCEABDFGCZZEABDFGCEABDFGCFGCEABDFGCEZZCZEAZFCZEAZZEAZZF,0.619047619047619
13,chr1,chr1_132294981,0.93,132294981,CentC,AABCFAABCFABGDEFAABCFAABCFABGDEFAABCFABGDEFAABCFABGDEFABCFABGDEF,0.984375
14,chr1,chr1_132304981,0.94,132304981,CentC,ZAHGCBZZCDCEFAHGZAZZFZHGCZFGCDBFAHGCEFAHGCZFGCZBZZZZ,0.576923076923077
15,chr1,chr1_132345405,0.94,132345405,CentC,ABZZZBBCDBBBBBCDAEFGZHICHICGBBBCDAEFGZBJBHKBLMBZZBJBHKBLMBBBJHKBLZBZNEOUPQDBYEGBBEOUPRGBVSE3LGBTBEOUPRGE3LGBTBEOUPRGE3LGBTBEOUPRGEOUPRGBVSE3LMWXPQDBYEGBTGEOUPRGBVSE3LMWXPQDBYEGBTBEOUPRGBVSE3LMWXPQDBYEGBTBEOUPRGBVSE3LMW1N2ZSE3LMW1N2CDBYECDBYYECDBYEGB4BCDBYEGB4BBZZGEGBEGBZBZOUPZBBZBBB68OBBBBa9K7OBBB68OBBBBa9K7OBBB68OBBBBa,0.85981308411215
16,chr1,chr1_132405405,0.96,132405405,CentC,ABFIMNGCHIJKLEDABFIMNGCHIJKLEDABFIMNGCHIJKLEDABFIMNGCHIJOIZGCHIPZZZGCHIJOIPIZZHIZZZZZZ,0.802325581395349
17,chr1,chr1_132425405,0.93,132425405,CentC,ZBCDFFFGEBIEHBFFCDFFFGEBIEHBFFGEBIEHBFFFJFGEBIEHBFFFBFFJFGEBFFFGIFFGEBHBFFFJFGIFFGIEBFFFGIFFGEBIEHBFFFJFGEBIEHBFFFJFGEBIEHBJFFFG,0.9140625
18,chr1,chr1_132445405,0.97,132445405,CentC,ZAZZZBZCHDZZZALZEBFCGZHDKIEBFCGJHDKIEBFCGJHDKIEBFCGJHDKIEBFCGJHDZZZZCZZZZZALZZ,0.602564102564103
19,chr1,chr1_132475405,0.92,132475405,CentC,AAAZAAAZZABABZCZZCZAZCZEAFAGAHGAHGAHCEAIFAGAHCEAIFAGAHCEAHCEAIFAGAHCEAIFAHGAHGAHCEAIFAGAHCEAIFAHCEAIFAGAHCEAIFAGAHCEAIF,0.697478991596639
20,chr1,chr1_132495405,0.94,132495405,CentC,ZFAGHBCDEZFAGHBCDEZZIJDCCKIJDCCKZZCKZZZCLZZCCZZZAZZZZZZZLZZZZZZZ,0.4375
