,chr,bin,clust_val,start,rep,pattern,purity
1,chr1,chr1_134197183,0.91,134197183,CentC,ZZZZZZZZZZZZZZZZ,0
2,chr1,chr1_134314063,0.9,134314063,CentC,AZBCDEFZZZDGCCAHGIJDGCCAKBCDEFGGIJDGCCAKBCDEFGLIJDGCCAKBCDEFGLIJDGCCAKBCDEFGGIJDGCCAKBCDEFGIJDGCCAKBDEFGIJDGCCAHGIJDGCCAHGIZ,0.879032258064516
3,chr1,chr1_134350426,0.9,134350426,CentC,ZZZZZZZZZ,0
4,chr1,chr1_134470194,0.9,134470194,CentC,ZZABZZZZCCAZBZZZ,0
5,chr1,chr1_134515907,0.9,134515907,CentC,ABCDEBFCGDAZDEBFCGDAZDEBFCZDZBFZBABCEBFBABCEBFHBABCEBFCEBFCEBFHBABCEBFHBABCEBFCEBFCEBFHBABCEBFCGZBCDEZFZZIZJZCZZKCZMNOILJMZMNOILJKZZZZZZZZ,0.507246376811594
6,chr1,chr1_137089838,0.93,137089838,CentC,ZZZZZ,0
7,chr1,chr1_137129838,0.96,137129838,CentC,ZZAZZZZZZA,0
8,chr1,chr1_137292718,0.94,137292718,CentC,ZABZZCZZCZZZBZAZZZZZZDZBEZFGHZZIDBJEZFGHZZIDBJEFGH,0.38
9,chr1,chr1_137302718,0.92,137302718,CentC,ZAABCADAABCAABCADAABCADAABCZAFACADACAABCADAABCAAFBCADAABCADAABCA,0.890625
10,chr1,chr1_137312718,0.94,137312718,CentC,ZZZZZZ,0
11,chr1,chr1_137346076,0.92,137346076,CentC,AAAAABCDZAAABCDDEAADDEZCDDEAAAABCAZZZAAABAAAAAABCDDEZZZAZZAZZZ,0.419354838709677
12,chr1,chr1_137356076,0.94,137356076,CentC,ABCDECZFGZHABCDECIFGGJBZKLZHABCDECIFGGJBZKLZH,0.711111111111111
13,chr1,chr1_137389912,0.91,137389912,CentC,ABCCCCCZADEZCCCCCCADEZCCCGCABCCCCCCCCCCGCHBCCCCCCCCHBCCCCCCCCCCH,0.375
14,chr1,chr1_137399912,0.94,137399912,CentC,AZABBAZBZZBGCAZBDBEFGCAZBDBEZGCZZDZAFHZZZZBAZBBFBAZHIBLMJKHIBBLMJKHIBBLMJKHIBBLMJKHIBLNOZHIBLMJKNOZZ,0.55
15,chr1,chr1_137457655,0.93,137457655,CentC,AABACZAZZCZAZZBAZZZZZ,0
16,chr1,chr1_137509493,0.93,137509493,CentC,ZAABCDAEIFGHAEZZCDAEIZABKCDACKCDACDACDACKCDADAAAABCDAEIFGHAE,0.85
17,chr1,chr1_137519493,0.94,137519493,CentC,ZZZZ,0
18,chr1,chr1_137579493,0.94,137579493,CentC,ZZZZZZZZZ,0
19,chr1,chr1_137659434,0.93,137659434,CentC,ZZZZZZZAAECAAABCAAAAABDAECAAAAABCAAAAABDAZACAZAAZZZZZAAZ,0.446428571428571
20,chr1,chr1_137669434,0.94,137669434,CentC,ZZZZAAZZZZBZZZZBZAZAAZ,0
21,chr1,chr1_137689434,0.93,137689434,CentC,ZZZZZ,0
22,chr1,chr1_137729434,0.94,137729434,CentC,ABFGCHDIEABFGCHDIEABFGJFGCHDIEABFGIEABFGCHDIEZJF,0.916666666666667
23,chr1,chr1_137767871,0.94,137767871,CentC,ZZABZACDAACDAAEAEAAFAGBADAAIDJBAAFAGBACDAACDZBAGABACDAAIDJBAAF,0.774193548387097
24,chr1,chr1_137777871,0.95,137777871,CentC,ZAZZZZZBZZZZBAB,0
25,chr1,chr1_137797871,0.95,137797871,CentC,ZZAZZZZZZZZZZZZZZZZAZZZZZZZZZ,0
26,chr1,chr1_137826801,0.93,137826801,CentC,AABZCDAZAZAABZCDAEZZZAFHEAAAAAFZEAGAAZFHEAFAAAAAFFGAAFFHEAFAAAAAFFGAAFFHEAFAAAAAFFHEAFAZZZAAZAFAAAAAFF,0.558823529411765
27,chr1,chr1_137891268,0.97,137891268,CentC,GFABCDZZEZDZZDGFZZDGFABCDGZZZZZZZZECDGZZZZZHIZZZZZZZZHIZZZZZZZZ,0.317460317460317
28,chr1,chr1_137901268,0.95,137901268,CentC,ABZCZDZZEZAZZCFZZCFZZEZABKGHCIFZJKGHCIFLJKGHCFZDZZZEZEZZFLZZZZZZ,0.28125
29,chr1,chr1_137911268,0.94,137911268,CentC,ZZZZZZZZZABZAB,0
30,chr1,chr1_137937489,0.95,137937489,CentC,ZAEZBCDFEZZZAEZBCDFZZZ,0.363636363636364
