,chr,bin,clust_val,start,rep,pattern,purity
1,chr1,chr1_101615,0.95,101615,knob180,AZZZABZCDAZEZAACDAZCDAFGEDAHBCDAFGEDAAHBZZAZDAFGEDAAHB,0.685185185185185
2,chr1,chr1_111615,0.96,111615,knob180,ADBCZADDEFDGDDKADBZKADDEFDGDDKADBCHADBMZIDDJZIDDKLKAZBCHADBMZIDDKIDDKIDDKADADADDDKAZDDKADCZDBZZADCKAZLZDZZDAKDDDLZLZDDIZJZ,0.590163934426229
3,chr1,chr1_136561596,0.91,136561596,CentC,ZZZZZAZZZZA,0
4,chr1,chr1_136678175,0.9,136678175,CentC,AZBCDEFGHIDJCCAKGHIDJCCALBCDEFGGHIDJCCALBCDEFGZHIDJCCALBCDEFGGHIDJCCALBCDEFGHIDJCCALBCDEFGHIDJCCAKGHIDJCCAKGHIDJCCACZZZZDZMNZOCALZCDZZZZZZZNZOIZIZJZCLZCZMZZDZ,0.727848101265823
5,chr1,chr1_136815124,0.9,136815124,CentC,AZZAABZZZZZBZZABZZZZZ,0
6,chr1,chr1_136862634,0.9,136862634,CentC,ABCDEBFCGDABDEBFCGDABDEBFCZDZBFIBABCEBFIBABCEBFIBABCEBFCEBF,0.932203389830508
7,chr1,chr1_136872634,0.95,136872634,CentC,ABCZZZZZABCZZZZZZZZCZZZZZZDZZZZZEFKJGHEIEFKJGHEIEFKJGZZDZZZZZZZ,0.428571428571429
8,chr1,chr1_136882634,0.9,136882634,CentC,ZZZZ,0
9,chr1,chr1_139440194,0.95,139440194,CentC,ZZZZZ,0
10,chr1,chr1_139480194,0.96,139480194,CentC,ZZAZZZZZZA,0
11,chr1,chr1_139671047,0.94,139671047,CentC,ZZZZZAZBBCZDAEBAGBCFGBAEBAGBCFGBAEBZDAEZZDBBHBIDBZBBHBJBKDBLDBMDBBHBJBKDBLDBMDBNBCBJIDBBZDBBNBCBJIDBB,0.772277227722772
12,chr1,chr1_139691047,0.93,139691047,CentC,ABCDCCEFGABCHABCDCCEFGABCHABCDCCEFGABCHABCDCCEFGA,1
13,chr1,chr1_139782304,0.95,139782304,CentC,ZABEFCDEFCDGABEFCDZZGABEFCDGABEFCDEFCDGABEFCDGZZDZGHZFDZGHZZGHZE,0.671875
14,chr1,chr1_139792304,0.93,139792304,CentC,GAABCGAABCGABDEFGAABCGAABCGABDEFGAABCGABDEFGABCGABDEFGABDEFGAZZ,0.968253968253968
15,chr1,chr1_139802304,0.94,139802304,CentC,ABCDFECDZZCZFEAZCEAZZCDFEABCDFEAZCEAZZZZZZ,0.619047619047619
16,chr1,chr1_139812304,0.93,139812304,CentC,ZZAZZAZ,0
17,chr1,chr1_139870582,0.91,139870582,CentC,ABACDEABCCFACAGCHECKLMAICJCACDEABCCFACAGCHECKLMAICJCACDEABCCFAZ,0.952380952380952
18,chr1,chr1_139880582,0.92,139880582,CentC,ACFBCDAZZZACFBCDAGHLAAGHLLAAGHLACKIJAGHLLAAGHLACKIJAGHLLAAGHLACK,0.953125
19,chr1,chr1_139890582,0.94,139890582,CentC,GCHDAABCHDABEBFGCHDABEBFGBZZEBEBBEBZZZIZZZBBZBBKLIBBMBQNPROBBBKLIBBMBQNPROBBBKLIBBMBQNPROBBBKLIBBMBQNPROBBBKLI,0.8
20,chr1,chr1_139910582,0.96,139910582,CentC,BHICJKLMANODANOEFGABHICJKLMANODANOEFGABHIZZCJKLMANOEFGABPAZEFGAQABZEFGABPAQZABPAQABEFGAZZZZZAZZZRSTAUWEVXY123ARSTAUWEVXY123ZWEVX,0.8671875
21,chr1,chr1_139930582,0.93,139930582,CentC,ABCZZZZZZZZABC,0.428571428571429
