,chr,bin,clust_val,start,rep,pattern,purity
1,chr1,chr1_114943,0.96,114943,knob180,ZZZZAZBZBZAZZZZZ,0
2,chr1,chr1_124943,0.92,124943,knob180,AZBAAACBAAAAAAAACAAAACBCZBAACB,0.4
3,chr1,chr1_134252091,0.91,134252091,CentC,ZZZAZZZZZZZZAZZZ,0
4,chr1,chr1_134365348,0.9,134365348,CentC,AZBCDEFGZHDGCCAIGJHDGCCAKBCDEFGGJHDGCCAKBCDEFGZJHDGCCAKBCDEFGGJHDGCZHDGCCAKBCDEFGLHDGCCAKBCDEFGLHDGCCAIGJHDGCCAIGZHDGCCACZZZZDZMGZNCAZZCDZZZZZZZZZNHZHZGZCZZCZMZZDZ,0.662576687116564
5,chr1,chr1_134509024,0.9,134509024,CentC,ZZABZZZZZBZZZABZZZZZ,0
6,chr1,chr1_134556374,0.9,134556374,CentC,ABCDEBFCGDABDEBFCGDABDEBFCZDZBFIBABCEBFIBABCEBFIBABCEBFIBAB,0.915254237288136
7,chr1,chr1_134566374,0.94,134566374,CentC,ACBDDEHFGACBDEHFGACBDDEHFGACBDEHFGACBGACBGACBDEHFGACBZZZFZZAZB,0.854838709677419
8,chr1,chr1_134576374,0.92,134576374,CentC,ZZZZABZZZBZFCGDEZFZFCGDEHABZHZZZZZZZZZ,0.263157894736842
9,chr1,chr1_134943,0.96,134943,knob180,AZBZZCAZZZZZZBAZZZBDAZDZZZCBZZZZDDCBDZCBZZZZBDDZZCBDZ,0.113207547169811
10,chr1,chr1_137187187,0.93,137187187,CentC,ZZZAZZBZZZZAZBZZ,0
11,chr1,chr1_137237187,0.94,137237187,CentC,ZZZZ,0
12,chr1,chr1_137310952,0.97,137310952,CentC,ZZZZ,0
13,chr1,chr1_137320952,0.94,137320952,CentC,ABCDBEZCDZCDBEABEZEZZZZZZZZEZZDBEZEBE,0.297297297297297
14,chr1,chr1_137464407,0.95,137464407,CentC,ADZZABZBZZZZAD,0
15,chr1,chr1_137474407,0.92,137474407,CentC,ZZ,0
16,chr1,chr1_137484407,0.95,137484407,CentC,ABCDEIFGHKJGBABCDEIFGHKJGBABCDEIFGHKJGBABCDEIFGHKJGBABDEIFGHKJGBABCDEIF,1
17,chr1,chr1_137561536,0.95,137561536,CentC,ZABDECZDECZZABD,0.733333333333333
18,chr1,chr1_137571536,0.93,137571536,CentC,EABAGCDBFEAGCDBFEABFEAGCDBFEAGBZAZGCBFAGGCBAGCHBFAGGCBAGGCBAGCHBFAGGCBAGGCBAGCHBFAGGCBAGCHBFAGGCBAGCHBFAGCBAGCHBFAGCHBFAGZFZFAGC,0.9375
19,chr1,chr1_137591536,0.92,137591536,CentC,DADBCADEDDCADEDDCAZDFDCADEDADBCADEDDCADDFCADEDDCADEDDZADDFCZDZZ,0.857142857142857
20,chr1,chr1_137655217,0.92,137655217,CentC,ABCAGDEEAAGDEAFABCAGDEAFABCAGDEEAAGDEAFABCAGDEAFABCAZZFAFAAFAZCZ,0.8125
21,chr1,chr1_137665217,0.94,137665217,CentC,ZZZZAAZAAABCDAAKEFGIHJAAABCDAAKEFGIHJAAABCDAAKZ,0.829787234042553
22,chr1,chr1_137675217,0.96,137675217,CentC,ZZZZZZZZZZZZZZ,0
23,chr1,chr1_137715217,0.92,137715217,CentC,AZZZZZZZZZZZZAZ,0
24,chr1,chr1_137735217,0.95,137735217,CentC,ZEABFZCDEZZFZAEFKZEAJGDHEFBEICEAJGDHEFBEICEACZDBEEFKZZJGDHEFBZICEACLDHEMEFBZILDHEFBEILDHEMEFBEILDHEMEFBEILDHEMEFBELDHEMBZZZCLDHEZ,0.627906976744186
25,chr1,chr1_137785217,0.91,137785217,CentC,EADBFGCEADEADEADBFGCEDEADBFGCEADBFGCEDEADBFGCEDEADBFGCEDEADBFGCZ,0.984375
26,chr1,chr1_137795217,0.94,137795217,CentC,AEBZZCZDEBCZDZAEZ,0
27,chr1,chr1_137805217,0.92,137805217,CentC,KABHCEDCEDKFGABHCEDZJDKFJDKFGABHCKLMKNKOPKQNKLMKNKOPKQKNKL,0.948275862068966
28,chr1,chr1_137815217,0.94,137815217,CentC,ABCZZCZABCDBEFZZABZDBEFZ,0.583333333333333
29,chr1,chr1_137825217,0.9,137825217,CentC,ZAABAZZZZAABZZAZZZABAZZZZ,0
30,chr1,chr1_137854227,0.94,137854227,CentC,ZABCDZZZCDZAB,0
31,chr1,chr1_137874227,0.92,137874227,CentC,ABDDCDABDDEFBDCDABDDDEFBDDCDABDDCDABDEFBD,0.975609756097561
32,chr1,chr1_137972004,0.92,137972004,CentC,ZZZZZZZ,0
33,chr1,chr1_138033668,0.96,138033668,CentC,AZBZZCDZZZZAZBZZCDZZZ,0
34,chr1,chr1_138090804,0.95,138090804,CentC,ZAAABABZDBBEDBBEDBBBBEDBBBBBBBEDBB,0.676470588235294
35,chr1,chr1_138100804,0.97,138100804,CentC,ZZABZZZCDZBEDDCZZZZABEDDCDZDZDCZ,0.3125
36,chr1,chr1_138120804,0.97,138120804,CentC,ZZZZZAZZAZ,0
37,chr1,chr1_138180151,0.96,138180151,CentC,ZZZZZZZZZZZZZZZ,0
38,chr1,chr1_138227246,0.92,138227246,CentC,AZAAABAAABAAZZZAZCABZAEEECABA,0.206896551724138
39,chr1,chr1_138237246,0.94,138237246,CentC,AZBZBZZZZZAZZZZCZDZCZDZAZZZZCZ,0
40,chr1,chr1_138308616,0.94,138308616,CentC,ZAZZZZZBZZZCAZZZDEFGGGBHIBFGGBHIBFGBJHFKLZBZDEFGGCHIBFGBJHFKLJHF,0.6875
41,chr1,chr1_138318616,0.93,138318616,CentC,ACEDBACDZZCEDBACACEDZFCZCZZZFZZ,0.548387096774194
42,chr1,chr1_138461269,0.95,138461269,CentC,ZZ,0
43,chr1,chr1_138486755,0.95,138486755,CentC,ABCDEFAZZEZABCDGFMHIJENKLZABCDGFMHIJENKLEOAZCZNKZEOZABCDZFMHZJEO,0.609375
44,chr1,chr1_138496755,0.94,138496755,CentC,ZABZCZZZZCABZZZ,0
45,chr1,chr1_144943,0.97,144943,knob180,ABCCIDABCCZZIDABCCZZCZCZMBCINZBCIPEJCKLEFCGMHMHIPEJCKLEFCGMHMBOINABOINABCIPEFCQMZCZMBZBCQRMBCQRMBCNZCQZMBZZ,0.710280373831776
46,chr1,chr1_14943,0.96,14943,knob180,AZBZCDEBZFABZZZBCDBZFCDZZEGZZZHZDHBDCFFBDCFFBDBDCZFBDCFFBDBDCFBGCFBGEILBDBDCFFBDBDCMJGCFBGEILBDCKLZCDCFBGEZFBGEIZDCHLBBDCFKLBBDCHLBBBDCFBZBZJBBBDCHLBDCMJBBBDCHLBDCMJBBZZHLBDCHBB,0.677966101694915
47,chr1,chr1_164943,0.96,164943,knob180,ABACDZZAEAFGIHCFGIHCZABZZZAAZEADCABAZEADCAAADCZAADADCEAADZZ,0.406779661016949
48,chr1,chr1_184943,0.96,184943,knob180,ACACBZACDAZCDAAAZAACBZACACBAACBAACBEFZCBZBZACBGAAZEFACBGAAZBEFACBHFAZFACBHFACBAAZAJKAACBHFAJKAACBHFAJKAACBHF,0.824074074074074
49,chr1,chr1_204943,0.95,204943,knob180,ZAEBZBBAZCDBAECBAEBBFGCBBAEBBBBHBBAIFBBEABFBFBCZEJBAZBBEABCKLABDCZBZABBBABBZBBZBBZCBALKCBAZBBBABJEBCBFBFBFBAEBBFIABBHBBBBEABCGFBBEABCEABCGFBBEABCEABCGFBBEABCEABDC,0.574074074074074
50,chr1,chr1_234943,0.96,234943,knob180,ZABBZZZABCZZAAZCZZA,0
51,chr1,chr1_254943,0.93,254943,knob180,CABCCCCCABCCCABCCCABCCACZCABCCABCBCCCABCCCABCCACZCABCC,0.740740740740741
52,chr1,chr1_264943,0.94,264943,knob180,ZAAABAZAACDAZAADAAEAEAAAAAADAAAFAZCAADZZAAAAAAAAADAADAAAAADADADAGAFAGAAAAADADAAADADZADADADADAZAAAAADADAAADAZAAAZZDFAFAZDAAAADAAADAABAAADAADAAADDDDAAAHZAAAADAAAAADADAAADAAAAADADAAADAAAAADAAAAADADAAADZJAAJAAAAHKLAJAAAAHKL,0.273972602739726
53,chr1,chr1_304943,0.93,304943,knob180,ZAAAAZZAAAAZAZZZZZZZZZAAADAAABCAADAAABCAAABECABAZZAABEZAAFAAZAZAZZZAAAAAZZAAAFAAZZA,0.240963855421687
54,chr1,chr1_334943,0.94,334943,knob180,ABZCCACDABCCAECDABCCAECZBZADCBCIGCAHCCADCBCIGCAHCCABCC,0.833333333333333
55,chr1,chr1_344943,0.95,344943,knob180,ABCBDEBFZGZFABZCZZHGZBDEBGBIBBFZZBHZZBBCIFZJIFCBJBJBZZBFCBBFCBJZBBFCBIGBJHBKCBCGBKCBCGBFCBIHJBBZFCBIHJBBIZZZZ,0.477064220183486
56,chr1,chr1_364943,0.96,364943,knob180,ZZZAZBCZDZAZBCZBDZZZZEEFZZZZZZZGZZGHEEFBHIEFBHIZFBHZ,0.211538461538462
57,chr1,chr1_374943,0.93,374943,knob180,CABBAAABBAAABACABAAAABAAAAAAAABAADAAAZAABAZAADAAAFABAAF,0.218181818181818
58,chr1,chr1_384943,0.95,384943,knob180,ZZAABACAAZZAABDEEEEDAZAAEDEEEEDAAAACEEDAAAACBAAZEEDAAAACBAAZCAFAAAZZZAAGAHIACABAAACBAAZAAZAZZZZZJBAZZAAKACAJBAAKACAJBFBACAFAZAZACBAAAFACBZBBLABBLAAACCMZMANAOPAZZPOZANABAZBZABCAAAZABABBAABCAAABAIHAGZAZAAAZACBAABCAAAZA,0.467592592592593
59,chr1,chr1_424943,0.94,424943,knob180,ABCDEBBBZBBBBBAFBBGHBZBFBABCDEBZBZZZBBBZBHGBBFABBBBZJJJ,0.218181818181818
60,chr1,chr1_444943,0.91,444943,knob180,AAAAAAAAAAAAAAAAAAAAAAABABZAABAZAAADAAAABAAABAAADAAAABA,0
61,chr1,chr1_454943,0.95,454943,knob180,AAZZZAAZZAABBZ,0
62,chr1,chr1_474943,0.94,474943,knob180,AAABCBCADAADAAADAADABCAAABCEABCAAABCEABCAAFBCAAABZFBCA,0.777777777777778
63,chr1,chr1_484943,0.96,484943,knob180,AABZZAABZAAAZZZZZCAZZBADDAAEBZBADDAAEZACAZZZAAEZZZAAA,0.264150943396226
64,chr1,chr1_514943,0.94,514943,knob180,AAAAAABAAAAAAABAAACAABAAAZDAZBAZAAABAAEZABADAFBAACAAAZAAEZABADAFBAACAAABAAAAAABAABAAAABAHAIAAAAAAAAAABAHAIAAA,0.311926605504587
65,chr1,chr1_54943,0.96,54943,knob180,ZZZABCEDBCEBBCEBBZZZBCEBZBBZZBCZFBHECGZZFBDHEIGCBHJBHHECBDKNCBALMFBDHEIGCZBZJBHHECBDKNCBALMOHHECBDKNCBALMOZ,0.700934579439252
66,chr1,chr1_574943,0.95,574943,knob180,BABBAZZBCBBCBBCFABBEAEABBBBGAEAEABBBBGABZZBZZBEADZEABBDEBCBBCFABBEAEABBBBGAEAEABBBBGABBBBBBHABBBBBBBBBBHABBBBZ,0.7
67,chr1,chr1_594943,0.98,594943,knob180,ACBACBDEZZCBACBDCBZZCCZZZZZBZEZCCZCZZCZZZZZZZZFZZZZZFZ,0.240740740740741
68,chr1,chr1_614943,0.96,614943,knob180,AZZZZBZCZCZZZZCBZACDCBAZZEFAZEFACZCDCBAZBZZACBAAACACA,0.358490566037736
69,chr1,chr1_624943,0.94,624943,knob180,ABBBCBCADBCABZBZDBCABBBCABBBCBCABBBCABBBCBCABBCABBCZZZ,0.666666666666667
70,chr1,chr1_634943,0.97,634943,knob180,ABZZKZZCDCGEFLHDCGEFLHIEZJZKABZZKAZCZEEFLHIEZJ,0.478260869565217
71,chr1,chr1_644943,0.95,644943,knob180,ABZCZABZC,0
72,chr1,chr1_654943,0.91,654943,knob180,AAAABCAZABCAZBCAABCAABCBCACAAZAABZBAACBABABAAAACBABAAAZ,0.636363636363636
73,chr1,chr1_664943,0.96,664943,knob180,ZAZZZZZZZZAZZZ,0
74,chr1,chr1_74943,0.97,74943,knob180,ZZZZZAHBICDIEFAJGKAHBICDIEFAJGKZLZZZALMZIALZZMIZNZAOZLMINOZLAZZZZPZZZZZZZAAMLZZMLAUQSLARZZLAZQSLAARPZZZZLAUQS,0.385321100917431
75,chr1,chr1_9456988,0.97,9456988,knob180,ZZZZZZZZZZZZZZ,0
76,chr1,chr1_94943,0.95,94943,knob180,BAAAZCBADECBAZAACBADECBADGCBAAZCBAACBCBZDECBADGCBAACBAACBAACBABABAAACBAAACBAEZADACBAECBABZCEABCABCAABABCADZE,0.759259259259259
77,chr10,chr10_51528278,0.9,51528278,CentC,AZBZBBAZBZBA,0
78,chr10,chr10_52043945,0.95,52043945,CentC,ABGCHDDEFABGCHDDEFABGCHDDEFABGCHDDEFABGCHDEFAZGZDDEFABGCHDDEIAZEIABGCHDDEFZZZDJFDPKLMKNODDJFDPKLMKNODDJFDPKNMDQRZZZZZZZMDQRZZZZZ,0.828125
79,chr10,chr10_52084336,0.93,52084336,CentC,ZZZZZZZZZ,0
80,chr10,chr10_52376473,0.95,52376473,CentC,ABDCDGDHZDZZEFABDCDGDHDZZGDDZEFAZDGDHIDIDDZZZIDDDDJZZJDZZZDZHZGZ,0.390625
81,chr10,chr10_52386473,0.96,52386473,CentC,ABZZZZCZCZZZZZZZZZZZDAZABEDFGHDHDZHDHGFDEHGFDEDZEDFGHDZZZZGHDHDH,0.453125
82,chr10,chr10_52396473,0.95,52396473,CentC,ABZZBZAZBZZBBACCAZZDBBBZEZFDGHIBJDBBKLBBMCABZCABKLBZMZEZFDGHIBJDBBKLHZBJDZBCENBBBBBBCENBBBBBCEZAOZPZZZZOZPZBDBBBCSQGPZBDBBBCSQGB,0.546875
83,chr10,chr10_52416473,0.92,52416473,CentC,AAZZABCDEGZABCDEAZEG,0.5
84,chr10,chr10_52467015,0.92,52467015,CentC,EAZBCDCCCCEAZBCDCCFZGZDCCFGZCZCZZZCZZZZZHZZZZZHZJCJC,0.269230769230769
85,chr10,chr10_55089467,0.92,55089467,CentC,ZZABABAAZZCAZAAZAAZAZACAAAA,0
86,chr10,chr10_55131082,0.91,55131082,CentC,ZZDDABCDDDZEDDABCDDDDAZZDDDDZEDDABCDD,0.621621621621622
87,chr10,chr10_55141082,0.93,55141082,CentC,BABZZBBBBBBZBAZZBBBBABACDBZBABAZZZBBBABACDBBABEBBBZZBBABEBBBBAB,0.444444444444444
88,chr10,chr10_55206274,0.94,55206274,CentC,AZBIJCKDEFGHBIJCKDEFGHGLGLMANBOJCPZZQGLMANBZOCPZQGZ,0.627450980392157
