,bin,Pattern,Start,End
1,chr1_10004,BCA,6,8
2,chr1_10004,BBGAHBC,13,19
3,chr1_10004,BCA,18,20
4,chr1_10004,CADABIEBFBB,19,29
5,chr1_10004,BBGAHBC,30,36
6,chr1_10004,BCA,35,37
7,chr1_10004,CADABIEBFBB,36,46
8,chr1_10004,BBAC,50,53
9,chr1_10004,BACB,51,54
10,chr1_10004,BBAC,67,70
11,chr1_10004,BACB,68,71
12,chr1_129258059,BCDEFG,3,8
13,chr1_129258059,HID,9,11
14,chr1_129258059,IDGCCA,10,15
15,chr1_129258059,HID,18,20
16,chr1_129258059,IDGCCA,19,24
17,chr1_129258059,CCAKBC,22,27
18,chr1_129258059,BCDEFG,26,31
19,chr1_129258059,FGGH,30,33
20,chr1_129258059,HID,33,35
21,chr1_129258059,IDGCCA,34,39
22,chr1_129258059,CCAKBC,37,42
23,chr1_129258059,BCDEFG,41,46
24,chr1_129258059,HID,48,50
25,chr1_129258059,IDGCCA,49,54
26,chr1_129258059,CCAKBC,52,57
27,chr1_129258059,BCDEFG,56,61
28,chr1_129258059,FGGH,60,63
29,chr1_129258059,HID,63,65
30,chr1_129258059,IDGCCA,64,69
31,chr1_129258059,CCAKBC,67,72
32,chr1_129258059,BCDEFG,71,76
33,chr1_129258059,HID,77,79
34,chr1_129258059,IDGCCA,78,83
35,chr1_129258059,CCAKBC,81,86
36,chr1_129258059,BCDEFG,85,90
37,chr1_129258059,HID,91,93
38,chr1_129258059,IDGCCA,92,97
39,chr1_129258059,HID,100,102
40,chr1_129258059,IDGCCA,101,106
41,chr1_129258059,IDGCCA,110,115
42,chr1_129448313,CDA,3,5
43,chr1_129448313,AEB,5,7
44,chr1_129448313,EBFCGACD,6,13
45,chr1_129448313,CDA,12,14
46,chr1_129448313,AEB,14,16
47,chr1_129448313,EBFCGACD,15,22
48,chr1_129448313,CDA,21,23
49,chr1_129448313,AEIAGABD,29,36
50,chr1_129448313,BDA,35,37
51,chr1_129448313,AEIAGABD,37,44
52,chr1_129448313,BDA,43,45
53,chr1_129448313,AEIAGABD,45,52
54,chr1_129448313,BDA,51,53
55,chr1_129448313,AEB,53,55
56,chr1_129448313,BDA,55,57
57,chr1_129448313,AEB,57,59
58,chr1_129458313,BCDFE,8,12
59,chr1_129458313,BCDFE,16,20
60,chr1_132207159,CAD,1,3
61,chr1_132207159,CAD,14,16
62,chr1_132217159,ABCD,1,4
63,chr1_132217159,CDCCEFCAB,3,11
64,chr1_132217159,ABCD,10,13
65,chr1_132217159,CDAB,12,15
66,chr1_132217159,ABCD,14,17
67,chr1_132217159,CDCCEFCAB,16,24
68,chr1_132217159,ABCD,23,26
69,chr1_132217159,CDAB,25,28
70,chr1_132217159,ABCD,27,30
71,chr1_132217159,CDCCEFCAB,29,37
72,chr1_132284981,ABD,2,4
73,chr1_132284981,DFG,7,9
74,chr1_132284981,FGC,8,10
75,chr1_132284981,GCE,9,11
76,chr1_132284981,EAB,11,13
77,chr1_132284981,ABD,12,14
78,chr1_132284981,DFG,14,16
79,chr1_132284981,FGC,15,17
80,chr1_132284981,EAB,20,22
81,chr1_132284981,ABD,21,23
82,chr1_132284981,DFG,23,25
83,chr1_132284981,FGC,24,26
84,chr1_132284981,GCE,25,27
85,chr1_132284981,EAB,27,29
86,chr1_132284981,ABD,28,30
87,chr1_132284981,DFG,30,32
88,chr1_132284981,FGC,31,33
89,chr1_132284981,FGC,34,36
90,chr1_132284981,GCE,35,37
91,chr1_132284981,EAB,37,39
92,chr1_132284981,ABD,38,40
93,chr1_132284981,DFG,40,42
94,chr1_132284981,FGC,41,43
95,chr1_132284981,GCE,42,44
96,chr1_132294981,ABCFA,2,6
97,chr1_132294981,FAAB,5,8
98,chr1_132294981,ABCFA,7,11
99,chr1_132294981,ABGDEF,11,16
100,chr1_132294981,FAAB,16,19
101,chr1_132294981,ABCFA,18,22
102,chr1_132294981,FAAB,21,24
103,chr1_132294981,ABCFA,23,27
104,chr1_132294981,ABGDEF,27,32
105,chr1_132294981,FAAB,32,35
106,chr1_132294981,ABCFA,34,38
107,chr1_132294981,ABGDEF,38,43
108,chr1_132294981,FAAB,43,46
109,chr1_132294981,ABCFA,45,49
110,chr1_132294981,ABGDEF,49,54
111,chr1_132294981,ABCFA,55,59
112,chr1_132294981,ABGDEF,59,64
113,chr1_132304981,AHG,2,4
114,chr1_132304981,HGC,3,5
115,chr1_132304981,CEFA,11,14
116,chr1_132304981,FAH,13,15
117,chr1_132304981,AHG,14,16
118,chr1_132304981,HGC,23,25
119,chr1_132304981,FGC,27,29
120,chr1_132304981,FAH,32,34
121,chr1_132304981,AHG,33,35
122,chr1_132304981,HGC,34,36
123,chr1_132304981,CEFA,36,39
124,chr1_132304981,FAH,38,40
125,chr1_132304981,AHG,39,41
126,chr1_132304981,HGC,40,42
127,chr1_132304981,FGC,44,46
128,chr1_132345405,BCD,7,9
129,chr1_132345405,CDB,8,10
130,chr1_132345405,BCD,14,16
131,chr1_132345405,CDAEFG,15,20
132,chr1_132345405,HIC,22,24
