,bin,Pattern,Start,End
1,chr10_142346517,BCA,3,5
2,chr10_142346517,BCA,10,12
3,chr10_142426517,BCA,4,6
4,chr10_142426517,CAB,5,7
5,chr10_142426517,ABC,6,8
6,chr10_142426517,BCA,7,9
7,chr10_142426517,CAB,17,19
8,chr10_142426517,ABC,18,20
9,chr10_142426517,BCA,19,21
10,chr10_142426517,CAB,20,22
11,chr10_142426517,ABC,21,23
12,chr10_142426517,BCA,22,24
13,chr10_142426517,CAB,23,25
14,chr10_142426517,ABDA,24,27
15,chr10_142426517,DAB,26,28
16,chr10_142426517,ABC,35,37
17,chr10_142426517,DAB,38,40
18,chr10_142426517,ABDA,39,42
19,chr10_142508613,ABC,1,3
20,chr10_142508613,ABC,4,6
21,chr10_142508613,ABC,7,9
22,chr10_142508613,ABC,10,12
23,chr10_142508613,ABC,13,15
24,chr10_142508613,ABC,16,18
25,chr10_142508613,ABC,19,21
26,chr10_142508613,ABC,22,24
27,chr10_142508613,ABC,25,27
28,chr10_142708703,CDEFG,18,22
29,chr10_142708703,CDEFG,30,34
30,chr10_142728703,ABC,1,3
31,chr10_142728703,BCD,2,4
32,chr10_142728703,BDC,6,8
33,chr10_142728703,CDB,10,12
34,chr10_142728703,BCD,12,14
35,chr10_142728703,CDB,13,15
36,chr10_142728703,ABC,17,19
37,chr10_142728703,BCD,22,24
38,chr10_142728703,DCCB,24,27
39,chr10_142728703,CBD,26,28
40,chr10_142728703,BDC,29,31
41,chr10_142728703,CDB,31,33
42,chr10_142728703,BDC,33,35
43,chr10_142728703,DCCB,34,37
44,chr10_142728703,CBD,36,38
45,chr10_142728703,BDC,37,39
46,chr10_142728703,DCB,38,40
47,chr10_142728703,CBD,39,41
48,chr10_142728703,BDDC,40,43
49,chr10_142728703,DCB,42,44
50,chr10_142728703,CBD,43,45
51,chr10_142728703,BDDC,44,47
52,chr10_142728703,DCB,46,48
53,chr10_142728703,CBD,47,49
54,chr10_142728703,BDC,48,50
55,chr10_142728703,DCB,49,51
56,chr10_142728703,CBD,50,52
57,chr10_142728703,BDC,51,53
58,chr10_142728703,DCB,57,59
59,chr10_142728703,CBD,58,60
60,chr10_142940538,ABAB,2,5
61,chr10_142940538,ABAB,6,9
62,chr10_142940538,ABBA,19,22
63,chr10_142940538,ABBA,25,28
64,chr10_143008559,ABC,5,7
65,chr10_143008559,BCA,6,8
66,chr10_143008559,ABC,8,10
67,chr10_143008559,BCA,9,11
68,chr10_143008559,ABC,11,13
69,chr10_143008559,BCA,12,14
70,chr10_143008559,ABC,14,16
71,chr10_143008559,BCA,26,28
72,chr10_143008559,ABC,28,30
73,chr10_143184069,ABC,2,4
74,chr10_143184069,BCA,3,5
75,chr10_143184069,CAB,4,6
76,chr10_143184069,ABC,5,7
77,chr10_143184069,BCA,6,8
78,chr10_143184069,BCA,12,14
79,chr10_143184069,CAB,13,15
80,chr10_143184069,ABC,14,16
81,chr10_143184069,BCA,15,17
82,chr10_143184069,CAB,16,18
83,chr10_143268496,ABC,2,4
84,chr10_143268496,BCA,3,5
85,chr10_143268496,ABC,5,7
86,chr10_143268496,BCA,6,8
87,chr10_143268496,ABC,8,10
88,chr10_143268496,BCA,9,11
89,chr10_143268496,ABC,11,13
90,chr10_143268496,BCA,12,14
91,chr10_143268496,ABC,14,16
92,chr10_143268496,BCA,19,21
93,chr10_143268496,ABC,21,23
94,chr10_143268496,BCA,22,24
95,chr10_143268496,ABC,24,26
96,chr10_143268496,BCA,25,27
