,chr,bin,clust_val,start,rep,pattern,purity
1,chr1,chr1_104992,0.96,104992,knob180,AFBHCAFFDEFGZZAFBHCAFFDZIAFBHCAFFDEFGFFIAFBHCAFBMZJFFKLJFFIAIAZBHCAFBMLJFFIJFFIJFFIAFAFAFFFIAFFFIAFHEFBZNAFHIAFAZIHFANFAIHFANFAIFFAFANFZZHFAIFFFAZAZFFJZKZZ,0.729032258064516
2,chr1,chr1_136485581,0.91,136485581,CentC,ZZZZZAZZZZA,0
3,chr1,chr1_136602162,0.9,136602162,CentC,AZBCDEFGHIDJCCAKGHIDJCCALBCDEFGGHIDJCCALBCDEFGZHIDJCCALBCDEFGGHIDJCCALBCDEFGHIDJCCALBCDEFGHIDJCCAKGHIDJCCAKGHIDJCCACZZZZDZMNZOCALZCDZZZZZZZNZOIZIZJZCLZCZMZZDZ,0.727848101265823
4,chr1,chr1_136739111,0.9,136739111,CentC,AZZAABZZZZZBZZABZZZZZ,0
5,chr1,chr1_136786621,0.9,136786621,CentC,ABCDEBFCGDABDEBFCGDABDEBFCZDZBFIBABCEBFIBABCEBFIBABCEBFCEBF,0.932203389830508
6,chr1,chr1_136796621,0.95,136796621,CentC,ABCZZZZZABCZZZZZZZZCZZZZZZDZZZZZEFKJGHEIEFKJGHEIEFKJGZZDZZZZZZZ,0.428571428571429
7,chr1,chr1_136806621,0.9,136806621,CentC,ZZZZ,0
8,chr1,chr1_139356557,0.93,139356557,CentC,ZZZZZ,0
9,chr1,chr1_139396557,0.96,139396557,CentC,ZZAZZZZZZA,0
10,chr1,chr1_139594989,0.94,139594989,CentC,ZZZZZAZBBCZDAEBAGBCFGBAEBAGBCFGBAEBZDAEZZDBBHBIDBZBBHBJBKDBLDBMDBBHBJBKDBLDBMDBNBCBJIDBBZDBBNBCBJIDBB,0.772277227722772
11,chr1,chr1_139614989,0.93,139614989,CentC,ABCDCCEFHABCGABCDCCEFHABCGABCDCCEFHABCGABCDCCEFHA,1
12,chr1,chr1_139706245,0.95,139706245,CentC,ZABEFCDEFCDGABEFCDZZGABEFCDGABEFCDEFCDGABEFCDGZZDZGHZFDZGHZZGHZE,0.671875
13,chr1,chr1_139716245,0.93,139716245,CentC,FAACBFAACBFACDGEFAACBFAACBFACDGEFAACBFACDGEFACBFACDGEFACDGEFAZZ,0.968253968253968
14,chr1,chr1_139726245,0.94,139726245,CentC,ABCDFECDZZCZFEAZCEAZZCDFEABCDFEAZCEAZZZZZZ,0.619047619047619
15,chr1,chr1_139736245,0.93,139736245,CentC,ZZAZZAZ,0
16,chr1,chr1_139765171,0.94,139765171,CentC,ZZZZZ,0
17,chr1,chr1_139796079,0.91,139796079,CentC,ABABCDABBAEABABBHDFIJBABBGKABCDABBAEABABBHDFIJBABBGKABCDABBAEABABBLBMAEABABBLBMAIJBAAIJBBAAIJBABBGKAIJBBAAIJBABBGKAIJBBAAIJBABB,0.984251968503937
18,chr1,chr1_139816079,0.96,139816079,CentC,GHICAABZICABDEFGHICABDEFGJZZDZDKBDKZZZZZZZKLMKKNOPKLQZURTWSKKKNOPKLQVURTWSKKKNOPKLQVURTWSKKKNOPKLQVURTWSKKKNOPKLQVURTWSKKKSKKKNOPKLQVURTWSKKKSKKKNOPKLQVZJURTWSKKKNOPKLMKZNOPKXKLZNOPKLMKXZKLMKXKLNOPKZZZZZKZZZY12K35N46789aKY12K35N46789aZ5N46,0.765690376569038
19,chr1,chr1_139876079,0.94,139876079,CentC,AHABCADCEFGAAHABCADCZFHAAAZZADCEFGAAHABCADCZFGAZAAHA,0.730769230769231
20,chr1,chr1_139886079,0.95,139886079,CentC,ABCGDEHFIDABCGDEHFIDABCGDEHFIDAZ,0.96875
21,chr1,chr1_139896079,0.96,139896079,CentC,HABICDGBEFHABICDGBEFHABICDGBJHKBILZZZZJHKBILZZ,0.869565217391304
22,chr1,chr1_139906079,0.92,139906079,CentC,ZAABZZZAAAZAAAZZACACZZDEFGAHFAABDEFGAHFAKAHFIAJAAHKAHKAHFIABJAKAHFIABJAHKAHKAHFIABJAKAHFIABJAHFIABJAKAHFIABJAKAHFIABJAKAHFIABJAKAHFZ,0.78030303030303
23,chr1,chr1_139936079,0.94,139936079,CentC,ABCDEFGIHABCFGABCDEFGIHABCDEFGEFGIHABCDEFGEFGIHZGIHABCDEFGEFGIHA,0.953125
24,chr1,chr1_139946079,0.93,139946079,CentC,ZBCDEGDFGDHFGDHIJBCDEGDFGDHFGDHIJBCDEGDDEGDFGDDEGDFGD,0.981132075471698
25,chr1,chr1_139978922,0.9,139978922,CentC,AZBZZZZBAZ,0
26,chr1,chr1_139998922,0.93,139998922,CentC,ZAZAZZAABACDEFAZCDEFAGCGAZZHZAZHHAHAAIJHAAHAAIJKBLAMNROBPAQZABPAQZOAZNHAAHAZJKBLAMNROABPAQABPAZ,0.631578947368421
27,chr1,chr1_140028922,0.91,140028922,CentC,AAAABACAAADEADEAAAABACAADEAAAZZZZZZZAZZAADEAAAZ,0.48936170212766
28,chr1,chr1_140038922,0.93,140038922,CentC,ABZCDEFZEABGHFIJFKZZZFIJZABGHFIJFKZZFIEFIJFLCZZFLCDE,0.596153846153846
29,chr1,chr1_140048922,0.92,140048922,CentC,ZZABCDEFGHIABCDEFGHIABCDEZF,0.851851851851852
30,chr1,chr1_140058922,0.91,140058922,CentC,AZBBZZBZZAZBCZCZZBBEIBBFHBBEGHBIBFHBBEIBFHBIBFHBBEIBBFHBBEGHBIBF,0.734375
31,chr1,chr1_140068922,0.92,140068922,CentC,AABCFDEACFDEAABCFDEACFDAABFDEACFDEFZABHEACFDEAACFDEAABHEACFDEAACFDEAABHEACFDEAAABHEA,0.785714285714286
32,chr1,chr1_140088922,0.93,140088922,CentC,ADZBCZADZBCZZBZ,0
33,chr1,chr1_140112745,0.91,140112745,CentC,ZZ,0
34,chr1,chr1_140132329,0.93,140132329,CentC,ABCDEBCFGZIHZZCFZZBZDGZIHZZZZZBABCDEB,0.324324324324324
35,chr1,chr1_140142329,0.91,140142329,CentC,ABCDDEFGFHIJFZABCDEFGFHIJF,0.961538461538462
36,chr1,chr1_140232032,0.95,140232032,CentC,ABBBBCABBBBCABBCAGAZDDBDDEGAFDDBDDZEGAFDDBDZDDDBZABBCABABABBBBCABBBABDDBDDDGADDDGAFBCABDDBDDADDZGAFBCABBCZGAFDDBDDDZADDGAGAFDZDD,0.609375
37,chr1,chr1_140302524,0.95,140302524,CentC,ZZZABCDZBCDZAZEZZZEFAGZHPIJKZLZMNOZZZZZZZZZAZZZEFAGZHPIJKZLZMNOZ,0.46875
38,chr1,chr1_140312524,0.94,140312524,CentC,ZABAZZZAZCZAAADBZZZZAZZZEZABAFABAFAAAZZGAZZAFZGAAAAZAFAAAHZHAACZZAZZEZAIGAAZGAAAADZAZZZAACDBJHZZZZZGAAZACZZJIGAACZ,0.140350877192982
39,chr1,chr1_140362524,0.92,140362524,CentC,AAAAABZAZZAAAAAAZAAAAAAAABAAAABAAAABAAAAAAAAAAAAAAAABABAAAAAAAAA,0
40,chr1,chr1_140372524,0.95,140372524,CentC,ZZABCZZDZZBZEFGBCHZDIZBJEZGBZKLMPAFGBZHZZINBJOKLMPAFINBJOKLMPAFINBJOKLMPAFPZ,0.578947368421053
